,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
1275,FORD,Transit Connect Van,2.0,AS8,4.0,9.8,8.8,9.3,219.0
1276,FORD,Transit Connect Van,2.5,AS6,4.0,12.0,8.8,10.6,247.0
1277,FORD,Transit Connect Van FFV,2.0,AS8,4.0,11.55,10.3,10.95,214.0
1278,FORD,Transit Connect Van LWB,2.0,AS8,4.0,9.8,8.8,9.3,219.0
1279,FORD,Transit Connect Van LWB,2.5,AS6,4.0,12.0,8.8,10.6,247.0
1280,FORD,Transit Connect Wagon LWB,2.0,AS8,4.0,9.9,8.2,9.2,214.0
1281,FORD,Transit Connect Wagon LWB,2.5,AS6,4.0,12.1,9.0,10.7,251.0
1282,FORD,Transit Connect Wagon LWB FFV,2.0,AS8,4.0,11.8,9.649999999999999,10.85,211.0
1283,GENESIS,G70,2.0,M6,4.0,12.8,8.5,10.9,255.0
1284,GENESIS,G70 AWD,2.0,AS8,4.0,11.45,8.649999999999999,10.25,239.5
1285,GENESIS,G70 AWD,3.3,AS8,6.0,13.7,9.5,11.8,279.0
1286,GENESIS,G80 AWD,3.3,AS8,6.0,13.800000000000002,9.7,11.9,282.0
1287,GENESIS,G80 AWD,3.8,AS8,6.0,13.625,9.575000000000001,11.8,278.5
1288,GENESIS,G80 AWD,5.0,AS8,8.0,16.0,10.424999999999999,13.45,317.0
1289,GENESIS,G90 AWD,3.3,AS8,6.0,13.674999999999999,9.649999999999999,11.875,279.25
1290,GENESIS,G90 AWD,5.0,AS8,8.0,15.249999999999998,10.2,13.025,307.25
1291,GMC,ACADIA,2.5,A6,4.0,11.0,9.2,10.2,239.0
1292,GMC,ACADIA,3.6,A6,6.0,14.079999999999998,9.82,12.139999999999999,282.8
1293,GMC,ACADIA AWD,2.5,A6,4.0,11.2,9.4,10.4,243.0
1294,GMC,ACADIA AWD,3.6,A6,6.0,14.48,10.080000000000002,12.5,291.2
1295,GMC,Acadia,2.0,A9,4.0,11.0,8.3,9.8,225.0
